,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company,isBlend,nutty,fruit,floral,spicy,cocoa,earthy,sweet,sour,roasty,dairy,grass,pungent,dirty,musty,smokey,rubbery,hammy,bland,off,bitter,astringent,C,L,S*,Sa,V
40,Ecuador,2009.0,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Gianduja,Aequare,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0
41,Ecuador,2009.0,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Gianduja,Aequare,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
42,Mexico,2009.0,Mexico,Tabasco,70.0,3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Ah Cacao,Ah Cacao,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
43,Switzerland,2010.0,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,Europe,Western Europe,Africa,Sub-Saharan Africa,Pralus,Akesson's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
44,Switzerland,2010.0,Brazil,"Monte Alegre, D. Badero",75.0,2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Pralus,Akesson's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
45,Switzerland,2011.0,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,Europe,Western Europe,Asia,South-eastern Asia,Pralus,Akesson's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
46,France,2013.0,Venezuela,Chuao,75.0,2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0
47,France,2013.0,Peru,"Piura, Perou",75.0,2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0
48,France,2014.0,Madagascar,Madagascar,75.0,3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,Alain Ducasse,Alain Ducasse,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0
49,France,2014.0,Trinidad and Tobago,Trinite,65.0,2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0
50,France,2014.0,Vietnam,Vietnam,75.0,2.75,Europe,Western Europe,Asia,South-eastern Asia,Alain Ducasse,Alain Ducasse,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0
51,France,2017.0,Mexico,"Porcelana, Mexique",75.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0
52,Netherlands,2017.0,Ecuador,"Winak Coop, Napo",70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alexandre,Alexandre,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
53,Netherlands,2017.0,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alexandre,Alexandre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
54,Netherlands,2017.0,Tanzania,"Makwale Village, Kyela",70.0,3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,Alexandre,Alexandre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
55,Netherlands,2017.0,Vietnam,Tien Giang,70.0,3.5,Europe,Western Europe,Asia,South-eastern Asia,Alexandre,Alexandre,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
56,U.S.A.,2013.0,Bolivia,"Bolivia, batch 101",80.0,3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0
57,U.S.A.,2013.0,Peru,"Peru, batch 148",60.0,3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
58,U.S.A.,2013.0,Dominican Republic,"Conacado, batch 130",60.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
59,U.S.A.,2013.0,Bolivia,"Bolivia, batch 154",60.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
60,U.S.A.,2013.0,Venezuela,Sur del Lago,60.0,2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0
61,U.S.A.,2016.0,Peru,Acopagro,60.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
62,U.S.A.,2016.0,Nicaragua,Momotombo,60.0,2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
63,U.S.A.,2016.0,Ecuador,Gruppo Salinas,60.0,2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
64,U.S.A.,2016.0,Bolivia,CIAAB Coop,60.0,2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
65,U.S.A.,2016.0,Peru,Villa Andina,60.0,2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0
66,U.S.A.,2018.0,Dominican Republic,Oko Caribe,70.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
67,U.S.A.,2007.0,Venezuela,Ocumare,70.0,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
68,U.S.A.,2007.0,Madagascar,Madagascar,70.0,3.5,Americas,Northern America,Africa,Sub-Saharan Africa,Amano,Amano,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
69,U.S.A.,2007.0,Venezuela,Cuyagua,70.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
